season,raceName,driverRef,first_set,stint_1,second_set,stint_2,third_set,stint_3,fourth_set,stint_4,fifth_set,stint_5,sixth_set,stint_6,total
2016,Abu Dhabi Grand Prix,hamilton,Ultra soft,7,Soft,21,Soft,27,,,,,,,55
2016,Abu Dhabi Grand Prix,rosberg,Ultra soft,8,Soft,21,Soft,26,,,,,,,55
2016,Abu Dhabi Grand Prix,vettel,Ultra soft,8,Soft,29,Super soft,18,,,,,,,55
2016,Abu Dhabi Grand Prix,verstappen,Super soft,21,Soft,34,,,,,,,,,55
2016,Abu Dhabi Grand Prix,ricciardo,Super soft,9,Soft,15,Soft,31,,,,,,,55
2016,Abu Dhabi Grand Prix,raikkonen,Ultra soft,7,Soft,18,Soft,30,,,,,,,55
2016,Abu Dhabi Grand Prix,hulkenberg,Ultra soft,8,Soft,18,Soft,29,,,,,,,55
2016,Abu Dhabi Grand Prix,perez,Ultra soft,9,Soft,18,Soft,28,,,,,,,55
2016,Abu Dhabi Grand Prix,massa,Ultra soft,8,Soft,22,Soft,25,,,,,,,55
2016,Abu Dhabi Grand Prix,alonso,Ultra soft,7,Soft,31,Super soft,17,,,,,,,55
2016,Abu Dhabi Grand Prix,grosjean,Soft,20,Soft,18,Super soft,17,,,,,,,55
2016,Abu Dhabi Grand Prix,gutierrez,Super soft,8,Soft,20,Soft,27,,,,,,,55
2016,Abu Dhabi Grand Prix,ocon,Soft,22,Soft,14,Super soft,18,,,,,,,54
2016,Abu Dhabi Grand Prix,wehrlein,Ultra soft,6,Soft,18,Soft,30,,,,,,,54
2016,Abu Dhabi Grand Prix,ericsson,Soft,38,Super soft,16,,,,,,,,,54
2016,Abu Dhabi Grand Prix,nasr,Super soft,7,Soft,29,Soft,18,,,,,,,54
2016,Abu Dhabi Grand Prix,palmer,Ultra soft,7,Soft,14,Soft,20,Super soft,13,,,,,54
2016,Abu Dhabi Grand Prix,sainz,Super soft,6,Soft,22,Soft,,,,,,,,28
2016,Abu Dhabi Grand Prix,kvyat,Super soft,8,Soft,,,,,,,,,,8
2016,Abu Dhabi Grand Prix,button,Soft,,,,,,,,,,,,0
2016,Abu Dhabi Grand Prix,bottas,Ultra soft,,,,,,,,,,,,0
2016,Abu Dhabi Grand Prix,magnussen,Soft,1,Soft,,,,,,,,,,1
2017,Abu Dhabi Grand Prix,hartley,Super soft,26,Ultra soft,28,,,,,,,,,54
2017,Abu Dhabi Grand Prix,sainz,Ultra soft,31,Super soft,,,,,,,,,,31
2017,Abu Dhabi Grand Prix,ricciardo,Ultra soft,19,Super soft,,,,,,,,,,19
2017,Abu Dhabi Grand Prix,ocon,Ultra soft,31,Super soft,24,,,,,,,,,55
2017,Abu Dhabi Grand Prix,massa,Ultra soft,22,Super soft,32,,,,,,,,,54
2017,Abu Dhabi Grand Prix,alonso,Ultra soft,21,Super soft,33,,,,,,,,,54
2017,Abu Dhabi Grand Prix,magnussen,Ultra soft,22,Super soft,32,,,,,,,,,54
2017,Abu Dhabi Grand Prix,raikkonen,Ultra soft,15,Super soft,40,,,,,,,,,55
2017,Abu Dhabi Grand Prix,stroll,Ultra soft,11,Super soft,18,Ultra soft,6,Ultra soft,19,,,,,54
2017,Abu Dhabi Grand Prix,hamilton,Ultra soft,24,Super soft,31,,,,,,,,,55
2017,Abu Dhabi Grand Prix,ericsson,Super soft,30,Ultra soft,24,,,,,,,,,54
2017,Abu Dhabi Grand Prix,verstappen,Ultra soft,14,Super soft,41,,,,,,,,,55
2017,Abu Dhabi Grand Prix,hulkenberg,Ultra soft,17,Super soft,38,,,,,,,,,55
2017,Abu Dhabi Grand Prix,wehrlein,Super soft,28,Ultra soft,26,,,,,,,,,54
2017,Abu Dhabi Grand Prix,gasly,Ultra soft,30,Super soft,24,,,,,,,,,54
2017,Abu Dhabi Grand Prix,grosjean,Ultra soft,32,Super soft,22,,,,,,,,,54
2017,Abu Dhabi Grand Prix,vettel,Ultra soft,20,Super soft,35,,,,,,,,,55
2017,Abu Dhabi Grand Prix,perez,Ultra soft,16,Super soft,39,,,,,,,,,55
2017,Abu Dhabi Grand Prix,vandoorne,Ultra soft,12,Super soft,42,,,,,,,,,54
2017,Abu Dhabi Grand Prix,bottas,Ultra soft,21,Super soft,34,,,,,,,,,55
2016,Australian Grand Prix,rosberg,Super soft,12,Soft,6,Medium,39,,,,,,,57
2016,Australian Grand Prix,hamilton,Super soft,16,Medium,2,Medium,39,,,,,,,57
2016,Australian Grand Prix,vettel,Super soft,13,Super soft,5,Super soft,17,Soft,22,,,,,57
2016,Australian Grand Prix,ricciardo,Super soft,12,Super soft,6,Soft,24,Super soft,15,,,,,57
2016,Australian Grand Prix,massa,Super soft,11,Soft,7,Medium,39,,,,,,,57
2016,Australian Grand Prix,grosjean,Soft,18,Medium,39,,,,,,,,,57
2016,Australian Grand Prix,hulkenberg,Soft,16,Medium,2,Medium,39,,,,,,,57
2016,Australian Grand Prix,bottas,Soft,17,Medium,2,Medium,39,,,,,,,58
2016,Australian Grand Prix,sainz,Super soft,8,Soft,10,Soft,13,Medium,26,,,,,57
2016,Australian Grand Prix,verstappen,Super soft,13,Soft,5,Soft,14,Medium,25,,,,,57
2016,Australian Grand Prix,palmer,Super soft,12,Soft,6,Medium,39,,,,,,,57
2016,Australian Grand Prix,magnussen,Super soft,1,Soft,17,Medium,39,,,,,,,57
2016,Australian Grand Prix,perez,Soft,16,Medium,2,Medium,39,,,,,,,57
2016,Australian Grand Prix,button,Soft,15,Soft,3,Super soft,12,Medium,26,,,,,56
2016,Australian Grand Prix,nasr,Super soft,10,Soft,8,Medium,38,,,,,,,56
2016,Australian Grand Prix,wehrlein,Super soft,11,Soft,7,Soft,14,Medium,24,,,,,56
2016,Australian Grand Prix,ericsson,Super soft,11,Soft,7,Medium,20,,,,,,,38
2016,Australian Grand Prix,raikkonen,Super soft,16,Super soft,5,,,,,,,,,21
2016,Australian Grand Prix,haryanto,Super soft,12,Soft,5,,,,,,,,,17
2016,Australian Grand Prix,gutierrez,Soft,,,,,,,,,,,,0
